Company Name,Symbol,Market Cap,EPS Forecast,EPS,Time,Fiscal Quarter Ending,No. of ESTs,Surprise,Scraped At
Materion Corporation,MTRN,"$2,013,081,866",$1.42,,time-pre-market,Dec/2024,2,,2025-02-19 03:27:36
Enlight Renewable Energy Ltd.,ENLT,"$2,004,184,811",($0.13),,time-pre-market,Dec/2024,2,,2025-02-19 03:27:36
"UFP Technologies, Inc.",UFPT,"$1,976,301,959",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
"Gibraltar Industries, Inc.",ROCK,"$1,785,574,970",$0.94,,time-pre-market,Dec/2024,1,,2025-02-19 03:27:36
"PROG Holdings, Inc.",PRG,"$1,778,888,644",$0.75,,time-pre-market,Dec/2024,2,,2025-02-19 03:27:36
Rogers Corporation,ROG,"$1,667,134,162",$0.45,,time-after-hours,Dec/2024,1,,2025-02-19 03:27:36
"Amplitude, Inc.",AMPL,"$1,537,310,243",($0.20),,time-after-hours,Dec/2024,4,,2025-02-19 03:27:36
"Empire State Realty Trust, Inc.",ESRT,"$1,519,159,021",,,time-after-hours,Dec/2024,N/A,,2025-02-19 03:27:36
"Wolverine World Wide, Inc.",WWW,"$1,483,640,546",$0.41,,time-pre-market,Dec/2024,4,,2025-02-19 03:27:36
Liberty Latin America Ltd.,LILA,"$1,449,679,000",,,time-after-hours,Dec/2024,N/A,,2025-02-19 03:27:36
Liberty Latin America Ltd.,LILAK,"$1,441,811,000",,,time-after-hours,Dec/2024,10,,2025-02-19 03:27:36
Imax Corporation,IMAX,"$1,420,850,827",$0.19,,time-after-hours,Dec/2024,6,,2025-02-19 03:27:36
Stepan Company,SCL,"$1,388,374,612",$0.34,,time-pre-market,Dec/2024,2,,2025-02-19 03:27:36
SFL Corporation Ltd,SFL,"$1,375,502,400",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Winmark Corporation,WINA,"$1,330,359,915",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Universal Corporation,UVV,"$1,305,505,533",,,time-not-supplied,Dec/2024,10,,2025-02-19 03:27:36
Fiverr International Ltd.,FVRR,"$1,289,496,038",$0.18,,time-pre-market,Dec/2024,3,,2025-02-19 03:27:36
Kaiser Aluminum Corporation,KALU,"$1,130,182,351",$0.45,,time-after-hours,Dec/2024,1,,2025-02-19 03:27:36
"TechTarget, Inc.",TTGT,"$1,129,691,091",,,time-not-supplied,Dec/2024,N/A,,2025-02-19 03:27:36
